"Campagne","Annee","Trait","Nom_Scientifique","Code_Campagne","Nombre","Poids","Pmoy","longueurmoy","DateDeb","LatDeb","LongDeb","DateFin","LatFin","LongFin"
"SHINY",1999,"B1","Cephalaspis.tenuicornis",3,2956,2956,NA,NA,"01/07/1999 00:00",44.0442319505708,-2.04316198274493,"01/07/1999 00:00",44.0442319505708,-2.02316198274493
"SHINY",2000,"B1","Cephalaspis.tenuicornis",7,0,0,NA,NA,"01/07/2000 00:00",44.0442319505708,-2.04316198274493,"01/07/2000 00:00",44.0442319505708,-2.02316198274493
"SHINY",2000,"B1","Cephalaspis.tenuicornis",6,216,216,NA,NA,"01/04/2000 00:00",44.0442319505708,-2.04316198274493,"01/04/2000 00:00",44.0442319505708,-2.02316198274493
"SHINY",2005,"B1","Cephalaspis.tenuicornis",10,433,433,NA,NA,"01/04/2005 00:00",44.0442319505708,-2.04316198274493,"01/04/2005 00:00",44.0442319505708,-2.02316198274493
"SHINY",1999,"B1","Cephalaspis.tenuicornis",1,0,0,NA,NA,"01/01/1999 00:00",44.0442319505708,-2.04316198274493,"01/01/1999 00:00",44.0442319505708,-2.02316198274493
"SHINY",2000,"B1","Cephalaspis.tenuicornis",5,35,35,NA,NA,"01/01/2000 00:00",44.0442319505708,-2.04316198274493,"01/01/2000 00:00",44.0442319505708,-2.02316198274493
"SHINY",2005,"B1","Cephalaspis.tenuicornis",9,0,0,NA,NA,"01/01/2005 00:00",44.0442319505708,-2.04316198274493,"01/01/2005 00:00",44.0442319505708,-2.02316198274493
"SHINY",2010,"B1","Cephalaspis.tenuicornis",16,25,25,NA,NA,"01/10/2010 00:00",44.0442319505708,-2.04316198274493,"01/10/2010 00:00",44.0442319505708,-2.02316198274493
"SHINY",2010,"B1","Cephalaspis.tenuicornis",13,354,354,NA,NA,"01/01/2010 00:00",44.0442319505708,-2.04316198274493,"01/01/2010 00:00",44.0442319505708,-2.02316198274493
"SHINY",2015,"B1","Cephalaspis.tenuicornis",20,21056,21056,NA,NA,"01/10/2015 00:00",44.0442319505708,-2.04316198274493,"01/10/2015 00:00",44.0442319505708,-2.02316198274493
"SHINY",1999,"B1","Cephalaspis.tenuicornis",4,1207,1207,NA,NA,"01/10/1999 00:00",44.0442319505708,-2.04316198274493,"01/10/1999 00:00",44.0442319505708,-2.02316198274493
"SHINY",2015,"B1","Cephalaspis.tenuicornis",19,6,6,NA,NA,"01/07/2015 00:00",44.0442319505708,-2.04316198274493,"01/07/2015 00:00",44.0442319505708,-2.02316198274493
"SHINY",2000,"B1","Cephalaspis.tenuicornis",8,13,13,NA,NA,"01/10/2000 00:00",44.0442319505708,-2.04316198274493,"01/10/2000 00:00",44.0442319505708,-2.02316198274493
"SHINY",2020,"B1","Cephalaspis.tenuicornis",23,0,0,NA,NA,"01/07/2020 00:00",44.0442319505708,-2.04316198274493,"01/07/2020 00:00",44.0442319505708,-2.02316198274493
"SHINY",2005,"B1","Cephalaspis.tenuicornis",12,17640,17640,NA,NA,"01/10/2005 00:00",44.0442319505708,-2.04316198274493,"01/10/2005 00:00",44.0442319505708,-2.02316198274493
"SHINY",2010,"B1","Cephalaspis.tenuicornis",14,5735,5735,NA,NA,"01/04/2010 00:00",44.0442319505708,-2.04316198274493,"01/04/2010 00:00",44.0442319505708,-2.02316198274493
"SHINY",2030,"B1","Cephalaspis.tenuicornis",29,63,63,NA,NA,"01/01/2030 00:00",44.0442319505708,-2.04316198274493,"01/01/2030 00:00",44.0442319505708,-2.02316198274493
"SHINY",2015,"B1","Cephalaspis.tenuicornis",18,2,2,NA,NA,"01/04/2015 00:00",44.0442319505708,-2.04316198274493,"01/04/2015 00:00",44.0442319505708,-2.02316198274493
"SHINY",1999,"B1","Cephalaspis.tenuicornis",2,92,92,NA,NA,"01/04/1999 00:00",44.0442319505708,-2.04316198274493,"01/04/1999 00:00",44.0442319505708,-2.02316198274493
"SHINY",2020,"B1","Cephalaspis.tenuicornis",22,0,0,NA,NA,"01/04/2020 00:00",44.0442319505708,-2.04316198274493,"01/04/2020 00:00",44.0442319505708,-2.02316198274493
"SHINY",2005,"B1","Cephalaspis.tenuicornis",11,3,3,NA,NA,"01/07/2005 00:00",44.0442319505708,-2.04316198274493,"01/07/2005 00:00",44.0442319505708,-2.02316198274493
